Q_eV,N,eta_j,beta,P_sys,mean_repairs,median_MTTR
1.1,12,0.7,1.0,0.99998,0.18634,216.15197513706585
1.1,12,0.7,1.5,0.99999,0.02639,216.9896052496632
1.1,12,0.7,2.5,1.0,0.00061,222.53317266627747
1.1,12,0.8,1.0,1.0,0.10455,216.7257670969124
1.1,12,0.8,1.5,1.0,0.01137,218.61575498235803
1.1,12,0.8,2.5,1.0,0.00024,180.32856613077297
1.1,12,0.88,1.0,1.0,0.07101,216.93034183757155
1.1,12,0.88,1.5,1.0,0.00617,219.6726412512404
1.1,12,0.88,2.5,1.0,5e-05,183.63622661623563
1.1,12,0.9,1.0,0.99999,0.06502,215.6677424892357
1.1,12,0.9,1.5,1.0,0.00586,213.86087109246094
1.1,12,0.9,2.5,1.0,5e-05,320.1423528665447
1.1,12,0.95,1.0,0.99999,0.05125,215.5828854512589
1.1,12,0.95,1.5,1.0,0.0043,216.36118117324838
1.1,12,0.95,2.5,1.0,1e-05,182.17697471985332
1.1,12,0.97,1.0,0.99999,0.04909,216.81561356853365
1.1,12,0.97,1.5,1.0,0.0034,222.58406717377696
1.1,12,0.97,2.5,1.0,1e-05,185.29003831494666
1.1,24,0.7,1.0,0.99994,0.39862,216.73624338461838
1.1,24,0.7,1.5,0.99999,0.05689,218.15652690764145
1.1,24,0.7,2.5,1.0,0.00125,226.13865055581104
1.1,24,0.8,1.0,0.99998,0.22713,216.20313411955567
1.1,24,0.8,1.5,1.0,0.02465,215.33899729441313
1.1,24,0.8,2.5,1.0,0.00045,239.66110392161485
1.1,24,0.88,1.0,0.99998,0.15055,217.03784381252876
1.1,24,0.88,1.5,1.0,0.01364,215.06870608824244
1.1,24,0.88,2.5,1.0,8e-05,243.5566581421724
1.1,24,0.9,1.0,0.99997,0.13929,216.0213716386569
1.1,24,0.9,1.5,1.0,0.01222,215.58678645562367
1.1,24,0.9,2.5,1.0,7e-05,226.1706183845748
1.1,24,0.95,1.0,0.99996,0.11127,213.93567092781655
1.1,24,0.95,1.5,0.99999,0.00876,216.72325888889134
1.1,24,0.95,2.5,1.0,0.0001,198.4547253046743
1.1,24,0.97,1.0,0.99998,0.10157,214.47991699750548
1.1,24,0.97,1.5,1.0,0.00753,214.6211296581715
1.1,24,0.97,2.5,1.0,4e-05,246.68551608630221
1.1,83,0.7,1.0,0.99976,1.41084,217.54230263935574
1.1,83,0.7,1.5,0.99995,0.19854,218.74381048838143
1.1,83,0.7,2.5,1.0,0.00441,220.0994893086106
