altitude_km,r_m,k_tension_N_per_m,k_gg_trans_N_per_m,k_gg_sign,ratio
31.66,6409762.53,3.144538e+00,9.889971e-04,destabilizing,3179.521866161339
94.99,6473087.60,3.245239e+00,9.909012e-04,destabilizing,3275.0375247423585
158.31,6536412.67,3.347108e+00,9.924823e-04,destabilizing,3372.4611756930635
221.64,6599737.73,3.450117e+00,9.937509e-04,destabilizing,3471.8125171591523
284.96,6663062.80,3.554236e+00,9.947173e-04,destabilizing,3573.1112882459474
348.29,6726387.87,3.659435e+00,9.953917e-04,destabilizing,3676.377269854138
411.61,6789712.93,3.765687e+00,9.957840e-04,destabilizing,3781.6302855254958
474.94,6853038.00,3.872962e+00,9.959041e-04,destabilizing,3888.8902022986135
538.26,6916363.06,3.981231e+00,9.957616e-04,destabilizing,3998.1769315747456
601.59,6979688.13,4.090466e+00,9.953659e-04,destabilizing,4109.51042999385
664.91,7043013.20,4.200640e+00,9.947262e-04,destabilizing,4222.910700320901
728.24,7106338.26,4.311724e+00,9.938517e-04,destabilizing,4338.397792342533
791.56,7169663.33,4.423691e+00,9.927512e-04,destabilizing,4455.991803774291
854.89,7232988.40,4.536514e+00,9.914332e-04,destabilizing,4575.712881177569
918.21,7296313.46,4.650165e+00,9.899063e-04,destabilizing,4697.581220889173
981.54,7359638.53,4.764619e+00,9.881786e-04,destabilizing,4821.617069958929
1044.86,7422963.60,4.879849e+00,9.862582e-04,destabilizing,4947.840727100065
1108.19,7486288.66,4.995829e+00,9.841530e-04,destabilizing,5076.272543649692
1171.51,7549613.73,5.112533e+00,9.818704e-04,destabilizing,5206.932924540386
1234.84,7612938.80,5.229937e+00,9.794180e-04,destabilizing,5339.842329282878
1298.16,7676263.86,5.348016e+00,9.768028e-04,destabilizing,5475.02127295988
1361.49,7739588.93,5.466745e+00,9.740320e-04,destabilizing,5612.490327231226
1424.81,7802913.99,5.586101e+00,9.711124e-04,destabilizing,5752.270121350385
1488.14,7866239.06,5.706059e+00,9.680505e-04,destabilizing,5894.381343192452
1551.46,7929564.13,5.826595e+00,9.648527e-04,destabilizing,6038.844740293748
1614.79,7992889.19,5.947689e+00,9.615253e-04,destabilizing,6185.681120903128
1678.11,8056214.26,6.069315e+00,9.580742e-04,destabilizing,6334.911355045087
1741.44,8119539.33,6.191454e+00,9.545055e-04,destabilizing,6486.556375594829
1804.76,8182864.39,6.314082e+00,9.508247e-04,destabilizing,6640.637179365347
1868.09,8246189.46,6.437178e+00,9.470372e-04,destabilizing,6797.17482820671
1931.41,8309514.53,6.560721e+00,9.431486e-04,destabilizing,6956.190450117598
1994.74,8372839.59,6.684691e+00,9.391638e-04,destabilizing,7117.705240369482
2058.06,8436164.66,6.809067e+00,9.350878e-04,destabilizing,7281.740462642092
2121.39,8499489.72,6.933829e+00,9.309255e-04,destabilizing,7448.317450174649
2184.71,8562814.79,7.058958e+00,9.266816e-04,destabilizing,7617.4576069257455
2248.04,8626139.86,7.184434e+00,9.223605e-04,destabilizing,7789.182408749288
2311.36,8689464.92,7.310240e+00,9.179666e-04,destabilizing,7963.513404582216
2374.69,8752789.99,7.436355e+00,9.135041e-04,destabilizing,8140.47221764567
2438.02,8816115.06,7.562763e+00,9.089771e-04,destabilizing,8320.080546659476
2501.34,8879440.12,7.689445e+00,9.043894e-04,destabilizing,8502.360167070123
2564.67,8942765.19,7.816384e+00,8.997449e-04,destabilizing,8687.332932292371
2627.99,9006090.26,7.943563e+00,8.950473e-04,destabilizing,8875.020774964645
2691.32,9069415.32,8.070966e+00,8.902999e-04,destabilizing,9065.445708218329
2754.64,9132740.39,8.198575e+00,8.855063e-04,destabilizing,9258.629826961207
2817.97,9196065.46,8.326376e+00,8.806697e-04,destabilizing,9454.595309175073
2881.29,9259390.52,8.454352e+00,8.757933e-04,destabilizing,9653.36441722779
2944.62,9322715.59,8.582488e+00,8.708801e-04,destabilizing,9854.959499199911
3007.94,9386040.65,8.710769e+00,8.659330e-04,destabilizing,10059.402990226008
3071.27,9449365.72,8.839180e+00,8.609548e-04,destabilizing,10266.71741385092
3134.59,9512690.79,8.967707e+00,8.559484e-04,destabilizing,10476.925383401074
3197.92,9576015.85,9.096336e+00,8.509162e-04,destabilizing,10690.049603371046
3261.24,9639340.92,9.225054e+00,8.458608e-04,destabilizing,10906.112870825535
3324.57,9702665.99,9.353846e+00,8.407847e-04,destabilizing,11125.138076816987
3387.89,9765991.05,9.482700e+00,8.356901e-04,destabilizing,11347.14820781897
3451.22,9829316.12,9.611602e+00,8.305793e-04,destabilizing,11572.166347175535
3514.54,9892641.19,9.740540e+00,8.254544e-04,destabilizing,11800.215676566777
3577.87,9955966.25,9.869503e+00,8.203176e-04,destabilizing,12031.31947749076
3641.19,10019291.32,9.998477e+00,8.151707e-04,destabilizing,12265.501132761958
3704.52,10082616.39,1.012745e+01,8.100157e-04,destabilizing,12502.784128026542
3767.84,10145941.45,1.025641e+01,8.048544e-04,destabilizing,12743.19205329459
3831.17,10209266.52,1.038536e+01,7.996886e-04,destabilizing,12986.74860448952
3894.49,10272591.58,1.051426e+01,7.945200e-04,destabilizing,13233.477585014865
