launch_cost,discount_rate,payload_revenue,max_affordable_depots
500.0,0.05,200.0,3
500.0,0.05,300.0,3
500.0,0.05,500.0,5
500.0,0.07,200.0,3
500.0,0.07,300.0,3
500.0,0.07,500.0,5
500.0,0.1,200.0,3
500.0,0.1,300.0,3
500.0,0.1,500.0,5
1000.0,0.05,200.0,3
1000.0,0.05,300.0,3
1000.0,0.05,500.0,5
1000.0,0.07,200.0,3
1000.0,0.07,300.0,3
1000.0,0.07,500.0,5
1000.0,0.1,200.0,3
1000.0,0.1,300.0,3
1000.0,0.1,500.0,5
1500.0,0.05,200.0,3
1500.0,0.05,300.0,3
1500.0,0.05,500.0,5
1500.0,0.07,200.0,3
1500.0,0.07,300.0,3
1500.0,0.07,500.0,5
1500.0,0.1,200.0,3
1500.0,0.1,300.0,3
1500.0,0.1,500.0,5
2000.0,0.05,200.0,3
2000.0,0.05,300.0,3
2000.0,0.05,500.0,5
2000.0,0.07,200.0,3
2000.0,0.07,300.0,3
2000.0,0.07,500.0,5
2000.0,0.1,200.0,3
2000.0,0.1,300.0,3
2000.0,0.1,500.0,5
