strategy,n_depots,depot_index,altitude_m,altitude_km
uniform,3,0,0.0,0.0
uniform,3,1,25000000.0,25000.0
uniform,3,2,50000000.0,50000.0
uniform,3,3,75000000.0,75000.0
uniform,5,0,0.0,0.0
uniform,5,1,16666666.666666666,16666.666666666664
uniform,5,2,33333333.333333332,33333.33333333333
uniform,5,3,50000000.0,50000.0
uniform,5,4,66666666.666666664,66666.66666666666
uniform,5,5,83333333.33333333,83333.33333333333
uniform,10,0,0.0,0.0
uniform,10,1,9090909.090909092,9090.909090909092
uniform,10,2,18181818.181818184,18181.818181818184
uniform,10,3,27272727.272727273,27272.727272727272
uniform,10,4,36363636.36363637,36363.63636363637
uniform,10,5,45454545.45454545,45454.545454545456
uniform,10,6,54545454.54545455,54545.454545454544
uniform,10,7,63636363.63636363,63636.36363636363
uniform,10,8,72727272.72727273,72727.27272727274
uniform,10,9,81818181.81818181,81818.18181818181
uniform,10,10,90909090.9090909,90909.09090909091
uniform,15,0,0.0,0.0
uniform,15,1,6250000.0,6250.0
uniform,15,2,12500000.0,12500.0
uniform,15,3,18750000.0,18750.0
uniform,15,4,25000000.0,25000.0
uniform,15,5,31250000.0,31250.0
uniform,15,6,37500000.0,37500.0
uniform,15,7,43750000.0,43750.0
uniform,15,8,50000000.0,50000.0
uniform,15,9,56250000.0,56250.0
uniform,15,10,62500000.0,62500.0
uniform,15,11,68750000.0,68750.0
uniform,15,12,75000000.0,75000.0
uniform,15,13,81250000.0,81250.0
uniform,15,14,87500000.0,87500.0
uniform,15,15,93750000.0,93750.0
uniform,20,0,0.0,0.0
uniform,20,1,4761904.761904762,4761.904761904762
uniform,20,2,9523809.523809524,9523.809523809525
uniform,20,3,14285714.285714285,14285.714285714286
uniform,20,4,19047619.04761905,19047.61904761905
uniform,20,5,23809523.80952381,23809.52380952381
uniform,20,6,28571428.57142857,28571.428571428572
uniform,20,7,33333333.333333332,33333.33333333333
uniform,20,8,38095238.0952381,38095.2380952381
uniform,20,9,42857142.85714286,42857.142857142855
uniform,20,10,47619047.61904762,47619.04761904762
uniform,20,11,52380952.38095238,52380.95238095238
uniform,20,12,57142857.14285714,57142.857142857145
uniform,20,13,61904761.9047619,61904.7619047619
uniform,20,14,66666666.666666664,66666.66666666666
uniform,20,15,71428571.42857143,71428.57142857143
uniform,20,16,76190476.1904762,76190.4761904762
uniform,20,17,80952380.95238096,80952.38095238096
uniform,20,18,85714285.71428572,85714.28571428571
uniform,20,19,90476190.47619048,90476.19047619047
uniform,20,20,95238095.23809524,95238.09523809524
joint_weighted,3,0,0.0,0.0
joint_weighted,3,1,21731000.0,21731.0
joint_weighted,3,2,46674000.0,46674.0
joint_weighted,3,3,75525000.0,75525.0
joint_weighted,5,0,0.0,0.0
joint_weighted,5,1,16600000.0,16600.0
joint_weighted,5,2,31736000.0,31736.0
joint_weighted,5,3,46674000.0,46674.0
joint_weighted,5,4,62332000.0,62332.0
joint_weighted,5,5,82804000.0,82804.0
joint_weighted,10,0,0.0,0.0
joint_weighted,10,1,11755000.0,11755.0
joint_weighted,10,2,20753000.0,20753.0
joint_weighted,10,3,28204000.0,28204.0
joint_weighted,10,4,35221000.0,35221.0
joint_weighted,10,5,42207000.0,42207.0
joint_weighted,10,6,50354000.0,50354.0
joint_weighted,10,7,58140000.0,58140.0
joint_weighted,10,8,66797000.0,66797.0
joint_weighted,10,9,76896000.0,76896.0
joint_weighted,10,10,89601000.0,89601.0
joint_weighted,15,0,0.0,0.0
joint_weighted,15,1,8747000.0,8747.0
joint_weighted,15,2,16600000.0,16600.0
joint_weighted,15,3,21731000.0,21731.0
joint_weighted,15,4,27308000.0,27308.0
joint_weighted,15,5,31736000.0,31736.0
joint_weighted,15,6,36959000.0,36959.0
joint_weighted,15,7,41326000.0,41326.0
joint_weighted,15,8,46674000.0,46674.0
joint_weighted,15,9,51293000.0,51293.0
joint_weighted,15,10,56128000.0,56128.0
joint_weighted,15,11,62332000.0,62332.0
joint_weighted,15,12,67965000.0,67965.0
joint_weighted,15,13,75525000.0,75525.0
joint_weighted,15,14,82804000.0,82804.0
joint_weighted,15,15,93466000.0,93466.0
joint_weighted,20,0,0.0,0.0
joint_weighted,20,1,8747000.0,8747.0
joint_weighted,20,2,14305000.0,14305.0
joint_weighted,20,3,18733000.0,18733.0
joint_weighted,20,4,22692000.0,22692.0
joint_weighted,20,5,26405000.0,26405.0
joint_weighted,20,6,29979000.0,29979.0
joint_weighted,20,7,33482000.0,33482.0
joint_weighted,20,8,36959000.0,36959.0
joint_weighted,20,9,40448000.0,40448.0
joint_weighted,20,10,43979000.0,43979.0
joint_weighted,20,11,48500000.0,48500.0
joint_weighted,20,12,52240000.0,52240.0
joint_weighted,20,13,56128000.0,56128.0
joint_weighted,20,14,60206000.0,60206.0
joint_weighted,20,15,64526000.0,64526.0
joint_weighted,20,16,69156000.0,69156.0
joint_weighted,20,17,74189000.0,74189.0
joint_weighted,20,18,79758000.0,79758.0
joint_weighted,20,19,86069000.0,86069.0
joint_weighted,20,20,93466000.0,93466.0
hybrid,3,0,0.0,0.0
hybrid,3,1,35786000.0,35786.0
hybrid,3,2,67893000.0,67893.0
hybrid,5,0,0.0,0.0
hybrid,5,1,17893000.0,17893.0
hybrid,5,2,35786000.0,35786.0
hybrid,5,3,57190666.66666667,57190.66666666667
hybrid,5,4,78595333.33333334,78595.33333333334
hybrid,10,0,0.0,0.0
hybrid,10,1,7157200.0,7157.2
hybrid,10,2,14314400.0,14314.4
hybrid,10,3,21471600.0,21471.6
hybrid,10,4,28628800.0,28628.8
hybrid,10,5,35786000.0,35786.0
hybrid,10,6,48628800.0,48628.8
hybrid,10,7,61471600.0,61471.6
hybrid,10,8,74314400.0,74314.4
hybrid,10,9,87157200.0,87157.2
hybrid,15,0,0.0,0.0
hybrid,15,1,5112285.714285715,5112.285714285715
hybrid,15,2,10224571.42857143,10224.57142857143
hybrid,15,3,15336857.142857144,15336.857142857143
hybrid,15,4,20449142.85714286,20449.14285714286
hybrid,15,5,25561428.571428575,25561.428571428576
hybrid,15,6,30673714.285714287,30673.714285714286
hybrid,15,7,35786000.0,35786.0
hybrid,15,8,43812750.0,43812.75
hybrid,15,9,51839500.0,51839.5
hybrid,15,10,59866250.0,59866.25
