N,strategy,n_depots,v_repair,cadence,expected_mttr,median_mttr,max_mttr,min_mttr,p_72h,t_wait
83,uniform,0,150.0,1,182.90571364046974,179.5888888888889,275.0185185185185,102.42962962962963,0.057688292682926835,92.59259259259258
83,uniform,0,150.0,2,275.4983062330623,272.18148148148146,367.6111111111111,195.0222222222222,0.028844146341463418,185.18518518518516
83,uniform,0,150.0,5,553.2760840108401,549.9592592592592,645.3888888888888,472.79999999999995,0.011537658536585366,462.96296296296293
83,uniform,0,150.0,10,1016.239046973803,1012.9222222222222,1108.351851851852,935.7629629629629,0.005768829268292683,925.9259259259259
83,uniform,0,300.0,1,138.44915311653116,136.79074074074072,184.50555555555556,98.21111111111111,0.14934085365853658,92.59259259259258
83,uniform,0,300.0,2,231.04174570912372,229.38333333333333,277.0981481481481,190.8037037037037,0.07467042682926829,185.18518518518516
83,uniform,0,300.0,5,508.8195234869014,507.16111111111104,554.8759259259259,468.58148148148143,0.02986817073170732,462.96296296296293
83,uniform,0,300.0,10,971.7824864498645,970.1240740740741,1017.8388888888888,931.5444444444444,0.01493408536585366,925.9259259259259
83,uniform,0,600.0,1,116.22087285456188,115.39166666666665,139.24907407407406,96.10185185185185,0.2612072865853659,92.59259259259258
83,uniform,0,600.0,2,208.81346544715447,207.98425925925926,231.84166666666667,188.69444444444443,0.13060364329268295,185.18518518518516
83,uniform,0,600.0,5,486.59124322493216,485.762037037037,509.6194444444444,466.4722222222222,0.052241457317073164,462.96296296296293
83,uniform,0,600.0,10,949.5542061878948,948.7249999999999,972.5824074074073,929.4351851851851,0.026120728658536582,925.9259259259259
83,uniform,1,150.0,1,125.41845076784098,122.97314814814814,182.42592592592592,94.64814814814814,0.21486207317073172,92.59259259259258
83,uniform,1,150.0,2,218.01104336043358,215.56574074074075,275.0185185185185,187.24074074074073,0.10743103658536586,185.18518518518516
83,uniform,1,150.0,5,495.7888211382113,493.34351851851847,552.7962962962962,465.0185185185185,0.04297241463414635,462.96296296296293
83,uniform,1,150.0,10,958.7517841011742,956.3064814814813,1015.7592592592592,927.9814814814814,0.021486207317073173,925.9259259259259
83,uniform,1,300.0,1,109.70552168021679,108.48287037037036,138.20925925925926,94.32037037037037,0.29639018292682934,92.59259259259258
83,uniform,1,300.0,2,202.29811427280939,201.07546296296294,230.80185185185184,186.91296296296295,0.14819509146341467,185.18518518518516
83,uniform,1,300.0,5,480.0758920505872,478.8532407407407,508.5796296296296,464.6907407407407,0.059278036585365866,462.96296296296293
83,uniform,1,300.0,10,943.0388550135501,941.8162037037036,971.5425925925925,927.6537037037036,0.029639018292682933,925.9259259259259
83,uniform,1,600.0,1,101.84905713640471,101.23773148148148,116.10092592592592,94.15648148148148,0.3388150914634147,92.59259259259258
83,uniform,1,600.0,2,194.44164972899728,193.83032407407404,208.69351851851852,186.74907407407406,0.16940754573170735,185.18518518518516
83,uniform,1,600.0,5,472.21942750677505,471.6081018518518,486.47129629629626,464.5268518518518,0.06776301829268294,462.96296296296293
83,uniform,1,600.0,10,935.1823904697378,934.5710648148147,949.4342592592592,927.4898148148147,0.03388150914634147,925.9259259259259
83,uniform,2,150.0,1,112.64424119241191,111.80185185185184,151.56172839506172,94.23395061728395,0.2805210975609756,92.59259259259258
83,uniform,2,150.0,2,205.23683378500454,204.39444444444442,244.1543209876543,186.82654320987652,0.1402605487804878,185.18518518518516
83,uniform,2,150.0,5,483.0146115627822,482.1722222222222,521.9320987654321,464.60432098765426,0.056104219512195116,462.96296296296293
83,uniform,2,150.0,10,945.9775745257451,945.135185185185,984.895061728395,927.5672839506173,0.028052109756097558,925.9259259259259
83,uniform,2,300.0,1,103.31841689250226,102.89722222222221,122.77716049382715,94.11327160493826,0.33088054878048784,92.59259259259258
83,uniform,2,300.0,2,195.91100948509484,195.4898148148148,215.36975308641973,186.70586419753084,0.16544027439024392,185.18518518518516
83,uniform,2,300.0,5,473.68878726287267,473.26759259259256,493.1475308641975,464.4836419753086,0.06617610975609756,462.96296296296293
83,uniform,2,300.0,10,936.6517502258354,936.2305555555554,956.1104938271604,927.4466049382715,0.03308805487804878,925.9259259259259
83,uniform,2,600.0,1,98.65550474254741,98.44490740740741,108.38487654320987,94.05293209876542,0.3560602743902439,92.59259259259258
83,uniform,2,600.0,2,191.24809733513996,191.03749999999997,200.97746913580247,186.64552469135802,0.17803013719512195,185.18518518518516
83,uniform,2,600.0,5,469.0258751129177,468.81527777777774,478.7552469135802,464.42330246913576,0.07121205487804878,462.96296296296293
