n_depots,launch_cost,discount_rate,payload_revenue,npv_modular_depot,npv_monolithic,delta_npv,modular_wins
0,500.0,0.05,200.0,1451019287.8004987,1237220841.019706,213798446.7807927,True
0,500.0,0.05,300.0,2554664908.7720118,2266896736.981244,287768171.79076767,True
0,500.0,0.05,500.0,4761956150.715035,4326248528.904321,435707621.8107147,True
0,500.0,0.07,200.0,984335344.3248603,804391106.8562657,179944237.46859467,True
0,500.0,0.07,300.0,1815047112.360059,1568641259.2304397,246405853.12961936,True
0,500.0,0.07,500.0,3476470648.4304566,3097141563.978789,379329084.4516678,True
0,500.0,0.1,200.0,540711020.4851233,397911882.5765117,142799137.9086116,True
0,500.0,0.1,300.0,1104697839.2329044,905077259.3291204,199620579.90378404,True
0,500.0,0.1,500.0,2232671476.7284665,1919408012.8343382,313263463.8941283,True
0,1000.0,0.05,200.0,694747333.6579722,415089890.1163355,279657443.5416367,True
0,1000.0,0.05,300.0,1798392954.6294842,1444765786.0778737,353627168.55161047,True
0,1000.0,0.05,500.0,4005684196.572509,3504117578.0009494,501566618.5715594,True
0,1000.0,0.07,200.0,307247152.5793233,80281908.96418184,226965243.61514145,True
0,1000.0,0.07,300.0,1137958920.6145222,844532061.3383563,293426859.27616596,True
0,1000.0,0.07,500.0,2799382456.6849194,2373032366.086705,426350090.59821415,True
0,1000.0,0.1,200.0,-46551596.52531561,-218506988.35219392,171955391.8268783,True
0,1000.0,0.1,300.0,517435222.2224656,288658388.4004147,228776833.82205087,True
0,1000.0,0.1,500.0,1645408859.7180278,1302989141.9056325,342419717.81239533,True
0,1500.0,0.05,200.0,-61524620.48455453,-407041060.7870347,345516440.30248016,True
0,1500.0,0.05,300.0,1042121000.486958,622634835.1745034,419486165.3124546,True
0,1500.0,0.05,500.0,3249412242.4299827,2681986627.09758,567425615.3324027,True
0,1500.0,0.07,200.0,-369841039.16621375,-643827288.9279016,273986249.7616879,True
0,1500.0,0.07,300.0,460870728.8689849,120422863.4462729,340447865.42271197,True
0,1500.0,0.07,500.0,2122294264.9393823,1648923168.1946225,473371096.7447598,True
0,1500.0,0.1,200.0,-633814213.5357546,-834925859.2808993,201111645.74514472,True
0,1500.0,0.1,300.0,-69827394.78797327,-327760482.5282907,257933087.7403174,True
0,1500.0,0.1,500.0,1058146242.707589,686570270.9769268,371575971.7306622,True
0,2000.0,0.05,200.0,-817796574.6270808,-1229172011.690406,411375437.0633253,True
0,2000.0,0.05,300.0,285849046.34443146,-199496115.72886732,485345162.0732988,True
0,2000.0,0.05,500.0,2493140288.2874565,1859855676.1942089,633284612.0932477,True
0,2000.0,0.07,200.0,-1046929230.9117508,-1367936486.8199856,321007255.90823483,True
0,2000.0,0.07,300.0,-216217462.8765526,-603686334.4458112,387468871.5692586,True
0,2000.0,0.07,500.0,1445206073.193845,924813970.3025384,520392102.89130664,True
0,2000.0,0.1,200.0,-1221076830.5461931,-1451344730.2096057,230267899.66341257,True
0,2000.0,0.1,300.0,-657090011.7984121,-944179353.4569963,287089341.65858424,True
0,2000.0,0.1,500.0,470883625.69714975,70151400.04822096,400732225.64892876,True
1,500.0,0.05,200.0,1432202704.4276483,1237220841.019706,194981863.4079423,True
1,500.0,0.05,300.0,2535848325.3991613,2266896736.981244,268951588.41791725,True
1,500.0,0.05,500.0,4743139567.342185,4326248528.904321,416891038.4378643,True
1,500.0,0.07,200.0,968037659.3188803,804391106.8562657,163646552.46261466,True
1,500.0,0.07,300.0,1798749427.354079,1568641259.2304397,230108168.12363935,True
1,500.0,0.07,500.0,3460172963.4244766,3097141563.978789,363031399.4456878,True
1,500.0,0.1,200.0,526948143.1881832,397911882.5765117,129036260.6116715,True
1,500.0,0.1,300.0,1090934961.9359643,905077259.3291204,185857702.60684395,True
1,500.0,0.1,500.0,2218908599.4315267,1919408012.8343382,299500586.5971885,True
1,1000.0,0.05,200.0,669800392.4257128,415089890.1163355,254710502.3093773,True
1,1000.0,0.05,300.0,1773446013.3972247,1444765786.0778737,328680227.31935096,True
1,1000.0,0.05,500.0,3980737255.3402495,3504117578.0009494,476619677.33930016,True
1,1000.0,0.07,200.0,285856303.15911627,80281908.96418184,205574394.19493443,True
1,1000.0,0.07,300.0,1116568071.1943152,844532061.3383563,272036009.85595894,True
1,1000.0,0.07,500.0,2777991607.2647123,2373032366.086705,404959241.1780071,True
1,1000.0,0.1,200.0,-64363893.88570158,-218506988.35219392,154143094.46649235,True
1,1000.0,0.1,300.0,499622924.8620796,288658388.4004147,210964536.46166492,True
1,1000.0,0.1,500.0,1627596562.357642,1302989141.9056325,324607420.45200944,True
1,1500.0,0.05,200.0,-92601919.57622293,-407041060.7870347,314439141.21081173,True
1,1500.0,0.05,300.0,1011043701.3952897,622634835.1745034,388408866.2207862,True
1,1500.0,0.05,500.0,3218334943.338314,2681986627.09758,536348316.2407341,True
1,1500.0,0.07,200.0,-396325053.00064784,-643827288.9279016,247502235.92725378,True
1,1500.0,0.07,300.0,434386715.0345508,120422863.4462729,313963851.5882779,True
1,1500.0,0.07,500.0,2095810251.1049483,1648923168.1946225,446887082.91032577,True
1,1500.0,0.1,200.0,-655675930.9595864,-834925859.2808993,179249928.3213129,True
1,1500.0,0.1,300.0,-91689112.21180515,-327760482.5282907,236071370.31648552,True
1,1500.0,0.1,500.0,1036284525.2837572,686570270.9769268,349714254.3068304,True
1,2000.0,0.05,200.0,-855004231.5781581,-1229172011.690406,374167780.11224794,True
