m,N,eta_j,lambda_full,P_sys,mean_repairs,median_MTTR
2.7,83,0.8,3.009515081037519e-07,0.99961,1.55903,219.31640907934596
2.7,83,0.88,3.009515081037519e-07,0.99989,0.82985,218.44601386733498
2.7,83,0.9,3.009515081037519e-07,0.99992,0.71693,219.7197690649235
2.7,83,0.95,3.009515081037519e-07,0.99987,0.50653,218.57818779155485
2.7,83,0.97,3.009515081037519e-07,0.99995,0.44316,218.9694037229166
2.7,505,0.8,3.009515081037519e-07,0.99775,9.48457,219.65964217192086
2.7,505,0.88,3.009515081037519e-07,0.99902,5.05152,219.4970610890913
2.7,505,0.9,3.009515081037519e-07,0.99913,4.36191,219.5225252967396
2.7,505,0.95,3.009515081037519e-07,0.99937,3.09654,219.3440932976738
2.7,505,0.97,3.009515081037519e-07,0.9996,2.71824,219.81285763820594
4.0,83,0.8,1.056134084152072e-07,0.99997,0.28474,219.04705311697347
4.0,83,0.88,1.056134084152072e-07,0.99999,0.15798,218.97959878704341
4.0,83,0.9,1.056134084152072e-07,0.99997,0.13935,218.46621313294807
4.0,83,0.95,1.056134084152072e-07,1.0,0.10103,219.2117080745139
4.0,83,0.97,1.056134084152072e-07,0.99999,0.08727,217.82396315675894
4.0,505,0.8,1.056134084152072e-07,0.99977,1.76317,219.57270402201695
4.0,505,0.88,1.056134084152072e-07,0.99988,0.97826,219.4788128330149
4.0,505,0.9,1.056134084152072e-07,0.99988,0.85472,219.29855743628292
4.0,505,0.95,1.056134084152072e-07,0.99993,0.61833,219.53280137807693
4.0,505,0.97,1.056134084152072e-07,0.99988,0.53707,219.82295932261783
6.0,83,0.8,5.115323698142944e-08,0.99996,0.09411,218.0195075768057
6.0,83,0.88,5.115323698142944e-08,0.99999,0.05289,218.88962768094243
6.0,83,0.9,5.115323698142944e-08,1.0,0.04706,220.3642702593787
6.0,83,0.95,5.115323698142944e-08,1.0,0.03326,218.32900655312142
6.0,83,0.97,5.115323698142944e-08,0.99999,0.03009,221.0023634706179
6.0,505,0.8,5.115323698142944e-08,0.99993,0.58397,219.74447031535666
6.0,505,0.88,5.115323698142944e-08,0.9999,0.32281,219.0678075985945
6.0,505,0.9,5.115323698142944e-08,0.99995,0.28494,219.98523421923505
6.0,505,0.95,5.115323698142944e-08,0.99996,0.20551,220.1210245387392
6.0,505,0.97,5.115323698142944e-08,0.99998,0.18061,219.5689669496558
8.0,83,0.8,3.5600012654246156e-08,0.99999,0.05439,219.2941221536477
8.0,83,0.88,3.5600012654246156e-08,0.99999,0.03186,218.00366704232223
8.0,83,0.9,3.5600012654246156e-08,0.99998,0.02706,216.16719374015474
8.0,83,0.95,3.5600012654246156e-08,1.0,0.01975,218.3269849502802
8.0,83,0.97,3.5600012654246156e-08,0.99999,0.01737,215.48553266650393
8.0,505,0.8,3.5600012654246156e-08,0.99994,0.33609,219.85417656398087
8.0,505,0.88,3.5600012654246156e-08,1.0,0.18757,218.48505424243785
8.0,505,0.9,3.5600012654246156e-08,0.99998,0.16349,218.56411267451216
8.0,505,0.95,3.5600012654246156e-08,0.99996,0.1184,220.23462310060557
8.0,505,0.97,3.5600012654246156e-08,0.99997,0.10337,218.76811229681564
10.0,83,0.8,2.864154037269689e-08,1.0,0.03886,220.63061317288265
10.0,83,0.88,2.864154037269689e-08,0.99999,0.02168,219.40411892200962
10.0,83,0.9,2.864154037269689e-08,1.0,0.01987,218.76800967581624
10.0,83,0.95,2.864154037269689e-08,0.99999,0.01442,216.64970589956715
10.0,83,0.97,2.864154037269689e-08,1.0,0.01202,222.20842508648198
10.0,505,0.8,2.864154037269689e-08,0.99997,0.24088,218.9753849668645
10.0,505,0.88,2.864154037269689e-08,0.99999,0.13578,220.69311792724588
10.0,505,0.9,2.864154037269689e-08,0.99999,0.11703,219.17842139760987
10.0,505,0.95,2.864154037269689e-08,0.99999,0.08571,220.39362967187807
10.0,505,0.97,2.864154037269689e-08,0.99998,0.07623,218.57425694888425
