N,eta_j,cadence,p_det,beta,P_sys,mean_repairs,median_MTTR,p05_MTTR,p95_MTTR
12,0.700000,1,0.500000,1.000000,0.999400,0.195610,319.043009,132.460428,932.825140
12,0.700000,1,0.500000,1.300000,0.999840,0.060730,314.772088,132.720031,932.619066
12,0.700000,1,0.500000,1.500000,0.999850,0.028620,314.244454,129.289930,898.550031
12,0.700000,1,0.500000,2.000000,0.999960,0.004570,325.525840,128.508605,893.576233
12,0.700000,1,0.500000,2.500000,0.999990,0.000660,388.310010,154.908698,1007.678820
12,0.700000,1,0.700000,1.000000,0.999770,0.197260,256.729736,121.041639,610.316725
12,0.700000,1,0.700000,1.300000,0.999960,0.061740,255.979038,124.104200,594.894080
12,0.700000,1,0.700000,1.500000,0.999940,0.027950,258.292897,125.883874,620.524134
12,0.700000,1,0.700000,2.000000,0.999980,0.004220,258.936787,123.605180,556.017158
12,0.700000,1,0.700000,2.500000,0.999990,0.000660,239.423219,128.445634,592.436559
12,0.700000,1,0.800000,1.000000,0.999870,0.198020,240.186013,117.497271,495.648364
12,0.700000,1,0.800000,1.300000,0.999960,0.062400,239.796409,120.943289,495.143310
12,0.700000,1,0.800000,1.500000,0.999950,0.028920,243.766089,123.065282,477.042728
12,0.700000,1,0.800000,2.000000,1.000000,0.004140,245.502053,116.811378,479.425326
12,0.700000,1,0.800000,2.500000,1.000000,0.000540,213.754431,101.275974,485.697458
12,0.700000,1,0.900000,1.000000,0.999930,0.200760,226.705103,114.684244,409.542615
12,0.700000,1,0.900000,1.300000,0.999970,0.063240,229.840077,116.631598,418.386332
12,0.700000,1,0.900000,1.500000,1.000000,0.029970,229.379519,121.975881,408.274725
12,0.700000,1,0.900000,2.000000,1.000000,0.004570,235.253643,120.123712,407.780698
12,0.700000,1,0.900000,2.500000,1.000000,0.000650,222.341814,119.122415,398.208681
12,0.700000,1,0.950000,1.000000,0.999940,0.197600,220.237245,112.903325,342.759145
